"['khaled', 'abdul', 'rahman', 'bawader', 'jefa']","['khaled', 'abdul', 'rahman', 'farga', 'al', 'shamel']","['khaled', 'abdul', 'rahman', 'sheftah']","['khaled', 'abdul', 'rahman', 'alaa', 'wen']","['khaled', 'abdul', 'rahman', 'mwallaa', 'maftoon']","['khaled', 'abdul', 'rahman', 'ma', 'ytfeg']","['khaled', 'abdul', 'rahman', 'ya', 'kether', 'khellanak']","['khaled', 'abdul', 'rahman', 'asaal', 'nafsi']","['khaled', 'abdul', 'rahman', 'qaid', 'thnoon']","['khaled', 'abdul', 'rahman', 'azartak']","['khaled', 'abdul', 'rahman', 'hob']","['khaled', 'abdul', 'rahman', 'khat', 'al', 'qalam']","['khaled', 'abdul', 'rahman', 'tfasser']","['khaled', 'abdul', 'rahman', 'teshabaht', 'bel', 'qamar']","['khaled', 'abdul', 'rahman', 'lo', 'yebher', 'shoq']","['khaled', 'abdul', 'rahman', 'al', 'sadeeq', 'wagt', 'al', 'deeq']","['khaled', 'abdul', 'rahman', 'al', 'hob', 'alkbeer']"
"['abdullah', 'al', 'ruwaished', 'al', 'ietraf']","['mohammad', 'al', 'belushi', 'ala', 'al', 'dunia', 'al', 'salam']","['nermin', 'al', 'madi', 'khareef', 'omor']","['anwar', 'abdullah', 'al', 'ghorbaa']","['abdullah', 'al', 'ruwaished', 'sarai', 'al', 'beit']","['fatima', 'al', 'geryani', 'damaat', 'yateem']","['rabab', 'al', 'ghorbaa']","['raja', 'balmalih', 'insane']","['abdullah', 'al', 'ruwaished', 'al', 'ietraf']","['ahlam', 'hob', 'fel', 'arbein']","['rabab', 'al', 'ghorbaa']"
"['abdulrab', 'esmaa', 'atii']","['talal', 'salamah', 'astaazenak']","['talal', 'salamah', 'men', 'aallamak']","['abdulrab', 'temada']","['talal', 'salamah', 'ahla', 'al', 'nissaa']","['talal', 'salamah', 'aainaiky']","['abdulrab', 'nerda', 'nezaal']","['talal', 'salamah', 'kaenak', 'mnt', 'aarefni']","['talal', 'salamah', 'baalen', 'aleha', 'hob']"
"['jannat', 'aiza', 'araab']","['jannat', 'akhat', 'karar']","['jannat', 'mish', 'regola']","['jannat', 'dalel']","['jannat', 'nafs', 'elkalam']","['jannat', 'akid', 'zealet']","['jannat', 'akher', 'ahzani']","['jannat', 'esal', 'megarab']","['jannat', 'ma', 'tetklimsh']","['jannat', 'batal', 'teghani']"
"['mansour', 'al', 'zayed', 'khalak', 'ala', 'majnonak']","['mansour', 'zayed', 'hayrtani']","['mansour', 'zayed', 'mafi', 'hob', 'lyrics']","['mansour', 'zayed', 'wemalo', 'lyrics']","['mansour', 'zayed', 'wada', 'clip']"
"['poop', 'paid', 'slime', 'rancher', 'road', 'golden', 'honey']","['golden', 'plort', 'slime', 'rancher', 'road', 'golden', 'honey']","['high', 'walls', 'slime', 'rancher', 'road', 'golden', 'honey']","['tabby', 'cat', 'slimes', 'slime', 'rancher', 'road', 'golden', 'honey']","['crates', 'slime', 'rancher', 'road', 'golden', 'honey']","['chicken', 'upgrade', 'slime', 'rancher', 'road', 'golden', 'honey']","['lucky', 'slime', 'slime', 'rancher', 'road', 'golden', 'honey']","['pink', 'largo', 'pops', 'slime', 'rancher', 'road', 'golden', 'honey']","['teleporter', 'slime', 'rancher', 'road', 'golden', 'honey']"
"['attack', 'team', 'sequel', 'announcement']","['minecraft', 'everdale', 'revenge', 'team']","['minecraft', 'fly', 'revenge', 'team']","['minecraft', 'backpack', 'buddies', 'revenge', 'team', 'paulsoaresjr']","['minecraft', 'pam', 'harvestcraft', 'mod', 'revenge', 'team']","['minecraft', 'blood', 'magic', 'mod', 'revenge', 'team']","['minecraft', 'trade', 'booth', 'mod', 'revenge', 'team']","['minecraft', 'android', 'prank', 'revenge', 'team']","['minecraft', 'slot', 'machine', 'revenge', 'team']","['minecraft', 'villager', 'noses', 'revenge', 'team']","['minecraft', 'proper', 'kitchen', 'revenge', 'team']","['minecraft', 'tinker', 'thief', 'revenge', 'team']","['minecraft', 'server', 'member', 'revenge', 'team']","['minecraft', 'grand', 'adventure', 'revenge', 'team']","['minecraft', 'trading', 'hats', 'collectables', 'revenge', 'team']","['minecraft', 'bloodmoon', 'revenge', 'team']","['minecraft', 'nether', 'revenge', 'team']","['minecraft', 'forge', 'revenge', 'team']","['minecraft', 'chance', 'cube', 'system', 'revenge', 'team']","['minecraft', 'key', 'revenge', 'team']","['minecraft', 'causing', 'mischief', 'revenge', 'team']","['minecraft', 'screened', 'porch', 'secret', 'lair', 'revenge', 'team']","['minecraft', 'force', 'field', 'revenge', 'team']","['minecraft', 'home', 'improvement', 'revenge', 'team']","['minecraft', 'house', 'exploded', 'revenge', 'team']","['minecraft', 'rebirth', 'item', 'system', 'revenge', 'team']","['minecraft', 'spring', 'cleaning', 'revenge', 'team']"
"['fallout', 'opening', 'cut', 'scene', 'character', 'creation']","['fallout', 'walkthrough', 'gameplay', 'nuclear', 'explosion', 'pc']","['fallout', 'walkthrough', 'gameplay', 'exiting', 'vault', 'pc']","['fallout', 'walkthrough', 'gameplay', 'exploding', 'car', 'easter', 'egg', 'codsworth', 'pc']","['fallout', 'walkthrough', 'gameplay', 'sanctuary', 'pc']","['fallout', 'walkthrough', 'gameplay', 'killing', 'raiders', 'pc']","['fallout', 'walkthrough', 'gameplay', 'power', 'armor', 'pc']","['fallout', 'walkthrough', 'gameplay', 'snuggling', 'mannequin', 'pc']","['fallout', 'building', 'crafting', 'guide', 'tutorial']","['fallout', 'walkthrough', 'gameplay', 'meet', 'dog', 'pc']","['fallout', 'walkthrough', 'gameplay', 'stoned', 'mama', 'murphy', 'pc']","['fallout', 'walkthrough', 'gameplay', 'beginning', 'settlement', 'pc']"
"['black', 'ops', 'juggernog', 'edition', 'unboxing', 'juggernog', 'mini', 'fridge']","['black', 'ops', 'zombies', 'giant', 'recorded', 'round']","['black', 'ops', 'zombies', 'gobblegum', 'guide', 'opening', 'liquid', 'divinium']","['black', 'ops', 'zombies', 'shadows', 'evil', 'recorded', 'round']","['giant', 'round', 'guide', 'full', 'extra', 'perk', 'easter', 'egg', 'black', 'ops', 'zombies']","['black', 'ops', 'zombies', 'prestige', 'mode']","['gobble', 'gobblegum', 'thanksgiving', 'x70', 'black', 'ops', 'zombies', 'gobblegum', 'opening']","['starting', 'room', 'challenge', 'shadows', 'evil', 'black', 'ops', 'zombies']","['giant', 'fun', 'run', 'black', 'ops', 'zombies']","['black', 'ops', 'der', 'eisendrache', 'run', 'bo3', 'zombies']"
"['minecraft', 'story', 'mode', 'order', 'stone', 'reuben', 'awesome']","['minecraft', 'story', 'mode', 'order', 'stone', 'shady', 'scary', 'dude']"
